,Conditions,Task,User,Scale,Results
252,24.0,Squeeze,User11,Large,-4.0
253,24.0,Compress,User11,Large,4.0
254,1.0,Squeeze,User11,Large,-4.0
255,1.0,Compress,User11,Large,-4.0
256,6.0,Squeeze,User11,Large,-4.0
257,6.0,Compress,User11,Large,-4.0
258,70.0,Squeeze,User11,Large,-4.0
259,70.0,Compress,User11,Large,4.0
260,75.0,Squeeze,User11,Large,4.0
261,75.0,Compress,User11,Large,4.0
262,25.0,Squeeze,User11,Large,-4.0
263,25.0,Compress,User11,Large,4.0
264,30.0,Squeeze,User11,Large,-4.0
265,30.0,Compress,User11,Large,4.0
266,35.0,Squeeze,User11,Large,4.0
267,35.0,Compress,User11,Large,-4.0
268,40.0,Squeeze,User11,Large,4.0
269,40.0,Compress,User11,Large,4.0
270,45.0,Squeeze,User10,Large,4.0
271,45.0,Compress,User10,Large,4.0
272,47.0,Squeeze,User10,Large,4.0
273,47.0,Compress,User10,Large,4.0
274,49.0,Squeeze,User10,Large,4.0
275,49.0,Compress,User10,Large,4.0
276,51.0,Squeeze,User10,Large,4.0
277,51.0,Compress,User10,Large,4.0
278,53.0,Squeeze,User10,Large,4.0
279,53.0,Compress,User10,Large,4.0
280,55.0,Squeeze,User10,Large,4.0
281,55.0,Compress,User10,Large,4.0
282,57.0,Squeeze,User10,Large,4.0
283,57.0,Compress,User10,Large,4.0
284,59.0,Squeeze,User10,Large,4.0
285,59.0,Compress,User10,Large,4.0
286,61.0,Squeeze,User10,Large,4.0
287,61.0,Compress,User10,Large,4.0
288,63.0,Squeeze,User10,Large,4.0
289,63.0,Compress,User10,Large,4.0
290,65.0,Squeeze,User10,Large,4.0
291,65.0,Compress,User10,Large,4.0
292,10.0,Squeeze,User10,Large,4.0
293,10.0,Compress,User10,Large,4.0
294,12.0,Squeeze,User10,Large,4.0
295,12.0,Compress,User10,Large,4.0
296,14.0,Squeeze,User10,Large,4.0
297,14.0,Compress,User10,Large,4.0
298,16.0,Squeeze,User10,Large,4.0
299,16.0,Compress,User10,Large,4.0
300,18.0,Squeeze,User10,Large,4.0
301,18.0,Compress,User10,Large,4.0
302,20.0,Squeeze,User10,Large,4.0
303,20.0,Compress,User10,Large,4.0
304,22.0,Squeeze,User10,Large,4.0
305,22.0,Compress,User10,Large,4.0
306,24.0,Squeeze,User10,Large,4.0
307,24.0,Compress,User10,Large,-4.0
308,1.0,Squeeze,User10,Large,4.0
309,1.0,Compress,User10,Large,4.0
310,6.0,Squeeze,User10,Large,4.0
311,6.0,Compress,User10,Large,4.0
312,70.0,Squeeze,User10,Large,4.0
313,70.0,Compress,User10,Large,4.0
314,75.0,Squeeze,User10,Large,4.0
315,75.0,Compress,User10,Large,4.0
316,25.0,Squeeze,User10,Large,4.0
317,25.0,Compress,User10,Large,4.0
318,30.0,Squeeze,User10,Large,4.0
319,30.0,Compress,User10,Large,4.0
320,35.0,Squeeze,User10,Large,4.0
321,35.0,Compress,User10,Large,4.0
322,40.0,Squeeze,User10,Large,4.0
323,40.0,Compress,User10,Large,4.0
324,45.0,Squeeze,User9,Large,-4.0
325,45.0,Compress,User9,Large,4.0
326,47.0,Squeeze,User9,Large,4.0
327,47.0,Compress,User9,Large,4.0
328,49.0,Squeeze,User9,Large,4.0
329,49.0,Compress,User9,Large,4.0
330,51.0,Squeeze,User9,Large,4.0
331,51.0,Compress,User9,Large,4.0
332,53.0,Squeeze,User9,Large,4.0
333,53.0,Compress,User9,Large,4.0
334,55.0,Squeeze,User9,Large,4.0
335,55.0,Compress,User9,Large,4.0
336,57.0,Squeeze,User9,Large,4.0
337,57.0,Compress,User9,Large,4.0
338,59.0,Squeeze,User9,Large,-4.0
339,59.0,Compress,User9,Large,4.0
340,61.0,Squeeze,User9,Large,4.0
341,61.0,Compress,User9,Large,4.0
342,63.0,Squeeze,User9,Large,4.0
343,63.0,Compress,User9,Large,4.0
344,65.0,Squeeze,User9,Large,4.0
345,65.0,Compress,User9,Large,4.0
346,10.0,Squeeze,User9,Large,4.0
347,10.0,Compress,User9,Large,4.0
348,12.0,Squeeze,User9,Large,4.0
349,12.0,Compress,User9,Large,4.0
350,14.0,Squeeze,User9,Large,4.0
351,14.0,Compress,User9,Large,4.0
352,16.0,Squeeze,User9,Large,4.0
353,16.0,Compress,User9,Large,4.0
354,18.0,Squeeze,User9,Large,4.0
355,18.0,Compress,User9,Large,4.0
356,20.0,Squeeze,User9,Large,4.0
357,20.0,Compress,User9,Large,4.0
358,22.0,Squeeze,User9,Large,4.0
359,22.0,Compress,User9,Large,4.0
360,24.0,Squeeze,User9,Large,4.0
361,24.0,Compress,User9,Large,4.0
362,1.0,Squeeze,User9,Large,-4.0
363,1.0,Compress,User9,Large,-4.0
364,6.0,Squeeze,User9,Large,4.0
365,6.0,Compress,User9,Large,4.0
366,70.0,Squeeze,User9,Large,4.0
367,70.0,Compress,User9,Large,4.0
368,75.0,Squeeze,User9,Large,4.0
